property_type,sector,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category,price
flat,tellapur,2.0,2.0,1,4.0,West,Relatively New,1210.0,0.0,0.0,0.0,111.0,31.0,Mid Floor,0.87
flat,bhoiguda,2.0,2.0,1,2.0,Not Available,Old Property,1140.0,0.0,0.0,0.0,0.0,3.0,Low Floor,0.75
flat,kondapur,3.0,3.0,1,2.0,East,Moderately Old,1545.0,0.0,0.0,1.0,28.0,45.0,Low Floor,1.15
flat,manikonda,3.0,3.0,2,3.0,East,Relatively New,1575.0,0.0,0.0,1.0,37.0,18.0,Mid Floor,1.25
flat,narsingi,3.0,4.0,1,37.0,East,Under Construction,3330.0,0.0,1.0,0.0,187.0,0.0,High Floor,2.4
flat,bachupally,2.0,2.0,2,1.0,East,Relatively New,1075.0,0.0,0.0,1.0,30.0,6.0,Low Floor,0.48
flat,kompally,3.0,3.0,1,5.0,East,New Property,1685.0,0.0,0.0,0.0,48.0,0.0,Mid Floor,1.15
flat,serlingampally,3.0,3.0,2,5.0,East,New Property,1513.0,0.0,0.0,0.0,115.0,18.0,Mid Floor,1.23
flat,hafeezpet,3.0,3.0,3,4.0,Not Available,Moderately Old,1650.0,0.0,0.0,1.0,79.0,39.0,Mid Floor,1.25
flat,begumpet,3.0,3.0,3,6.0,Not Available,Relatively New,2300.0,0.0,0.0,1.0,0.0,32.0,Mid Floor,1.91
flat,kokapet,3.0,3.0,1,8.0,West,New Property,1945.0,0.0,0.0,0.0,172.0,0.0,Mid Floor,1.6
flat,ameerpet,3.0,2.0,3,1.0,North,Old Property,1420.0,0.0,0.0,1.0,84.0,15.0,Low Floor,0.99
flat,kompally,2.0,2.0,2,2.0,East,New Property,842.0,1.0,0.0,1.0,182.0,17.0,Low Floor,0.59
flat,kompally,3.0,3.0,1,5.0,East,New Property,1960.0,0.0,0.0,0.0,93.0,0.0,Mid Floor,0.91
flat,patancheru,2.0,2.0,1,5.0,East,New Property,910.0,0.0,0.0,0.0,58.0,0.0,Mid Floor,0.45
flat,sri balaji layout,3.0,3.0,2,3.0,West,Old Property,1611.0,0.0,0.0,0.0,28.0,3.0,Mid Floor,0.75
flat,manikonda,2.0,2.0,2,5.0,West,Moderately Old,1150.0,0.0,0.0,0.0,21.0,30.0,Mid Floor,0.7
flat,mansoorabad,3.0,3.0,2,2.0,East,New Property,1525.0,0.0,0.0,0.0,75.0,0.0,Low Floor,1.25
flat,malkajgiri,2.0,2.0,1,2.0,North-East,Moderately Old,1020.0,0.0,0.0,1.0,56.0,10.0,Low Floor,0.65
flat,aminpur,2.0,2.0,1,0.0,East,Moderately Old,1161.0,0.0,0.0,0.0,79.0,9.0,Low Floor,0.78
flat,nallakunta,3.0,2.0,1,4.0,North,New Property,1050.0,1.0,0.0,1.0,36.0,0.0,Mid Floor,1.3
flat,kokapet,3.0,3.0,2,5.0,East,New Property,1675.0,0.0,0.0,0.0,104.0,0.0,Mid Floor,1.3
flat,chilkalguda,3.0,3.0,2,9.0,North-West,Old Property,1830.0,0.0,0.0,1.0,69.0,16.0,Mid Floor,1.35
flat,narsingi,2.0,2.0,1,3.0,Not Available,Relatively New,1090.0,0.0,0.0,0.0,63.0,0.0,Mid Floor,0.94
flat,suchitra,2.0,2.0,2,7.0,North,Under Construction,1280.0,0.0,0.0,1.0,101.0,0.0,Mid Floor,0.7
flat,narsingi,3.0,3.0,3,9.0,Not Available,New Property,3128.0,1.0,0.0,0.0,77.0,12.0,Mid Floor,3.0
flat,malkajgiri,3.0,3.0,1,2.0,East,New Property,1405.0,0.0,0.0,0.0,8.0,0.0,Low Floor,1.29
flat,asif nagar,4.0,4.0,0,5.0,Not Available,Old Property,5000.0,0.0,0.0,0.0,0.0,16.0,Mid Floor,1.25
flat,vanasthalipuram,3.0,3.0,3,1.0,North-East,Under Construction,2000.0,0.0,0.0,1.0,55.0,0.0,Low Floor,1.2
flat,nallagandla,2.0,2.0,2,9.0,East,New Property,1214.0,0.0,0.0,0.0,56.0,0.0,Mid Floor,0.88
flat,malkajgiri,3.0,3.0,2,1.0,Not Available,Relatively New,2000.0,0.0,0.0,0.0,31.0,16.0,Low Floor,1.1
flat,kapra,3.0,3.0,1,1.0,North-East,Moderately Old,1143.0,0.0,0.0,0.0,97.0,0.0,Low Floor,0.7
flat,uppal,2.0,2.0,2,2.0,East,New Property,1025.0,0.0,0.0,1.0,21.0,0.0,Low Floor,0.58
flat,hastinapuram,3.0,3.0,2,6.0,East,New Property,1845.0,0.0,0.0,0.0,136.0,0.0,Mid Floor,1.3
flat,alkapuri,2.0,2.0,2,1.0,South-West,Moderately Old,1020.0,0.0,0.0,0.0,108.0,5.0,Low Floor,0.7
flat,medipally,2.0,2.0,2,0.0,East,Relatively New,1062.0,0.0,0.0,0.0,87.0,24.0,Low Floor,0.42
flat,bachupally,3.0,3.0,1,1.0,East,New Property,1700.0,0.0,0.0,0.0,92.0,0.0,Low Floor,1.25
flat,kondapur,3.0,3.0,1,9.0,West,Old Property,1495.0,0.0,0.0,0.0,123.0,25.0,Mid Floor,1.56
flat,hyder nagar,3.0,2.0,2,3.0,East,Old Property,1490.0,0.0,0.0,0.0,98.0,12.0,Mid Floor,0.9
flat,miyapur,2.0,2.0,0,4.0,West,Old Property,757.0,0.0,0.0,0.0,45.0,6.0,Mid Floor,0.45
flat,manikonda,2.0,2.0,1,1.0,East,Relatively New,1237.0,0.0,0.0,0.0,109.0,43.0,Low Floor,1.15
flat,uppal,2.0,2.0,1,12.0,East,New Property,1330.0,0.0,0.0,0.0,115.0,0.0,High Floor,1.2
flat,miyapur,2.0,2.0,1,12.0,North,New Property,810.0,0.0,0.0,0.0,58.0,0.0,High Floor,0.58
flat,madinaguda,3.0,3.0,2,9.0,North,Relatively New,1420.0,0.0,0.0,0.0,52.0,1.0,Mid Floor,1.15
flat,bhanur,3.0,3.0,2,3.0,East,New Property,1512.0,0.0,0.0,1.0,47.0,0.0,Mid Floor,0.58
flat,somajiguda,2.0,2.0,2,1.0,West,Old Property,1032.0,0.0,0.0,0.0,56.0,15.0,Low Floor,0.7
flat,moti nagar,3.0,2.0,1,13.0,East,New Property,1583.0,0.0,0.0,0.0,92.0,0.0,High Floor,1.5
flat,srinagar colony,2.0,2.0,1,3.0,South,Old Property,941.0,0.0,0.0,0.0,38.0,3.0,Mid Floor,0.74
flat,osmania university teachers colony,3.0,3.0,2,2.0,East,New Property,2350.0,0.0,0.0,1.0,61.0,9.0,Low Floor,1.46
flat,kavadiguda,3.0,2.0,2,1.0,North,Old Property,1150.0,0.0,0.0,0.0,51.0,15.0,Low Floor,0.63
flat,hi tech city,2.0,2.0,1,10.0,Not Available,Under Construction,1250.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,1.25
flat,mallapur,2.0,2.0,2,3.0,East,Old Property,1065.0,0.0,0.0,0.0,8.0,0.0,Mid Floor,0.44
flat,nizampet,2.0,2.0,2,4.0,East,Relatively New,1000.0,0.0,0.0,1.0,21.0,17.0,Mid Floor,0.65
flat,shilpa nagar,3.0,3.0,2,0.0,West,Moderately Old,1378.0,0.0,0.0,1.0,57.0,0.0,Low Floor,0.52
flat,sainikpuri,2.0,2.0,2,2.0,East,Relatively New,1020.0,0.0,0.0,1.0,89.0,6.0,Low Floor,0.63
flat,miyapur,3.0,3.0,2,9.0,Not Available,Moderately Old,1960.0,0.0,0.0,1.0,42.0,13.0,Mid Floor,1.35
flat,old safilguda,2.0,2.0,1,1.0,East,Old Property,789.0,0.0,0.0,0.0,8.0,5.0,Low Floor,0.24
flat,madinaguda,2.0,2.0,2,1.0,North,Old Property,720.0,0.0,0.0,0.0,36.0,13.0,Low Floor,0.48
flat,nizampet,3.0,3.0,2,2.0,West,Relatively New,1555.0,0.0,0.0,1.0,125.0,23.0,Low Floor,1.2
flat,rajendra nagar,2.0,2.0,1,4.0,Not Available,Relatively New,994.0,0.0,0.0,0.0,0.0,8.0,Mid Floor,0.75
flat,madhapur,2.0,2.0,2,2.0,North,Relatively New,1150.0,0.0,0.0,0.0,28.0,14.0,Low Floor,1.2
flat,pocharam,3.0,3.0,1,2.0,East,Old Property,1072.0,0.0,0.0,0.0,100.0,12.0,Low Floor,0.48
flat,nizampet,2.0,2.0,1,2.0,East,Old Property,1155.0,0.0,0.0,0.0,0.0,3.0,Low Floor,0.45
flat,boduppal,2.0,2.0,2,2.0,Not Available,Old Property,1050.0,0.0,0.0,0.0,0.0,10.0,Low Floor,0.6
flat,santosh nagar,2.0,2.0,1,5.0,North,Moderately Old,950.0,0.0,0.0,0.0,40.0,20.0,Mid Floor,0.63
flat,hayathnagar,3.0,3.0,1,4.0,East,New Property,1719.0,0.0,0.0,1.0,31.0,0.0,Mid Floor,0.78
flat,hayathnagar,3.0,3.0,2,1.0,East,Under Construction,1460.0,0.0,0.0,0.0,23.0,0.0,Low Floor,0.63
flat,miyapur,2.0,2.0,1,8.0,North-East,Under Construction,918.0,0.0,0.0,0.0,90.0,0.0,Mid Floor,0.65
flat,nagole,2.0,2.0,1,2.0,Not Available,Under Construction,1260.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.73
flat,narapally,2.0,2.0,2,2.0,Not Available,Under Construction,1220.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.55
flat,uppal,2.0,2.0,1,10.0,Not Available,New Property,1355.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.8
flat,kondapur,2.0,2.0,1,11.0,West,New Property,1297.0,0.0,0.0,1.0,122.0,11.0,High Floor,1.98
flat,gachibowli,4.0,5.0,2,2.0,West,Moderately Old,3170.0,0.0,1.0,0.0,122.0,12.0,Low Floor,3.32
